"","Year","Month","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"1",1985,5,71.06,71.06,68,68,64.94,64.04,64.04,64.94,69.08,66.02,51.08,55.94,59,57.92,66.02,66.92,66.02,66.02,68,66.92,66.92,62.96,NA,69.98,73.94,71.06,71.06,69.08,73.04,69.08,62.06
"2",1985,6,62.96,62.96,64.94,60.08,69.08,75.92,82.04,86,84.92,84.02,82.04,82.94,84.92,82.94,82.94,86,84.92,87.08,87.08,84.02,80.96,82.04,84.92,80.96,73.94,71.96,73.04,80.96,84.02,82.04,NA
"3",1985,7,80.96,86,89.96,87.98,91.94,91.94,89.06,87.98,89.96,87.08,84.02,84.02,84.92,87.08,84.02,84.92,78.98,80.96,75.92,73.94,64.94,71.96,73.04,80.06,80.06,77,80.06,82.04,77,73.94,73.04
"4",1985,8,77,68,78.08,80.06,82.04,80.96,82.94,82.94,80.06,80.06,80.06,75.92,78.98,78.98,80.96,80.96,78.98,75.02,82.04,82.04,69.98,80.06,84.02,87.98,91.04,84.92,84.02,80.96,78.98,82.04,82.94
"5",1985,9,82.94,75.02,73.94,71.96,66.92,62.96,62.96,64.04,68,64.94,68,66.02,66.92,75.02,73.94,73.04,73.04,69.98,51.98,59,55.04,68,68,71.06,71.96,73.04,71.96,64.94,60.98,64.04,NA
"6",1985,10,64.04,60.08,64.04,71.06,71.06,75.02,69.08,53.96,51.08,55.04,50,55.04,57.02,53.96,51.08,55.94,57.02,60.08,62.96,62.96,62.06,55.04,53.96,68,66.92,64.94,66.92,68,64.04,64.94,62.06
"7",1985,11,50,53.96,64.94,62.96,64.94,57.92,60.08,62.96,53.06,48.02,46.94,41,26.06,26.96,26.96,39.92,51.08,37.04,37.04,26.96,48.02,46.04,46.04,48.92,50,39.92,46.04,41,42.98,35.96,NA
"8",1985,12,33.08,42.98,44.06,46.04,50,51.08,46.94,51.08,39.92,35.96,30.02,21.92,32,35.96,39.92,44.06,42.08,46.94,46.94,48.92,51.98,60.08,57.02,55.04,51.98,46.94,55.94,51.98,53.96,53.06,44.96
"9",1986,1,42.98,46.94,46.94,48.02,42.08,44.06,44.06,37.04,46.04,51.98,50,51.08,50,51.08,46.94,42.08,50,53.96,51.08,60.08,53.06,53.06,53.06,53.06,50,48.92,51.08,57.02,60.98,59,46.94
"10",1986,2,48.02,44.96,46.04,44.96,39.92,39.92,26.06,35.06,26.06,28.04,30.92,37.94,44.06,42.98,44.96,39.02,41,46.04,53.06,46.94,46.04,44.96,55.04,60.08,62.96,69.08,69.98,60.98,NA,NA,NA
"11",1986,3,62.06,64.04,59,59,59,64.04,62.06,57.92,55.94,44.96,33.08,39.92,39.02,42.98,39.02,41,35.06,33.08,42.08,44.96,51.98,57.92,59,60.98,57.92,60.98,64.94,69.08,64.94,53.96,64.94
"12",1986,4,62.06,46.04,35.96,44.96,53.06,57.02,55.04,57.02,55.04,60.08,57.92,60.08,55.04,51.98,59,60.08,55.94,46.04,46.94,59,69.08,73.04,66.92,59,59,59,55.94,62.96,66.92,68,NA
"13",1986,5,66.02,69.98,73.04,71.06,60.98,60.98,53.06,42.98,51.08,57.02,62.96,64.94,66.02,68,68,64.04,64.94,64.04,71.06,75.02,75.02,68,71.06,69.98,75.02,80.06,80.96,78.98,73.04,73.94,64.94
"14",1986,6,75.02,78.98,71.06,73.94,75.02,73.94,73.04,73.04,68,69.08,73.04,78.98,80.06,78.98,80.96,82.04,82.04,78.08,78.98,78.08,78.98,78.98,82.04,84.92,71.06,78.08,84.92,86,82.94,71.06,NA
"15",1986,7,75.92,82.04,84.92,73.04,66.92,71.96,75.02,71.06,78.08,78.08,78.98,80.96,82.04,84.02,84.02,69.98,69.08,75.92,75.92,82.04,75.02,60.08,66.92,71.06,73.94,75.92,75.92,77,80.96,82.94,84.02
"16",1986,8,87.08,86,86,84.02,82.94,82.04,80.06,82.04,78.98,80.06,77,80.06,73.94,75.02,77,78.98,82.04,84.02,77,89.96,84.02,84.02,78.98,77,64.94,71.96,73.04,73.94,69.08,71.96,73.94
"17",1986,9,71.96,69.98,73.94,73.04,77,78.98,80.06,71.96,69.08,80.06,64.04,66.02,66.92,66.92,66.92,66.92,68,68,68,66.92,64.94,66.92,57.92,51.08,39.02,44.96,55.04,57.02,57.02,57.92,NA
"18",1986,10,60.08,60.08,53.06,50,57.02,51.98,57.92,64.94,62.96,62.96,55.04,48.02,39.02,51.08,57.02,57.02,62.96,60.98,55.04,51.08,48.92,55.94,55.94,59,60.08,60.98,60.08,60.08,64.94,64.94,62.06
"19",1986,11,55.04,48.02,39.92,59,51.08,55.04,48.02,35.06,44.96,53.06,46.94,57.92,53.96,57.02,55.94,55.94,55.04,55.04,48.92,51.98,53.06,53.96,44.06,39.92,48.92,48.02,42.98,50,59,50,NA
"20",1986,12,48.02,50,57.02,59,53.96,50,35.06,39.92,41,35.96,24.98,39.92,44.96,48.92,44.06,44.96,42.98,41,41,44.06,33.08,37.94,39.02,35.06,41,37.04,39.02,42.08,37.04,41,51.98
"21",1987,1,48.92,48.92,42.98,51.98,46.04,33.08,33.08,33.08,37.04,32,42.08,41,53.06,53.96,42.98,28.94,15.98,21.92,37.04,33.98,21.92,44.96,46.94,46.94,48.02,53.96,57.92,55.04,48.02,48.92,46.94
"22",1987,2,39.02,55.94,55.94,46.94,39.92,42.08,42.98,46.94,51.98,51.08,50,51.08,50,48.92,37.94,44.06,39.02,37.94,35.06,33.08,28.04,35.96,42.08,33.08,24.98,24.98,28.04,33.08,NA,NA,NA
"23",1987,3,37.04,39.92,48.02,44.96,51.98,55.94,53.96,46.04,46.04,50,50,51.98,55.94,53.06,50,30.92,33.08,44.06,48.92,41,41,39.92,28.04,39.02,35.06,39.02,46.94,37.04,35.06,37.04,48.02
"24",1987,4,55.94,60.08,59,53.06,42.08,50,53.06,50,53.96,60.98,64.04,60.08,50,57.02,68,71.96,73.94,71.06,62.06,55.94,NA,60.08,64.04,69.08,69.08,69.08,68,68,68,66.02,NA
"25",1987,5,64.04,64.94,64.04,62.06,66.02,69.08,69.08,66.02,69.08,69.08,66.92,69.98,64.04,69.08,69.98,64.94,59,66.92,66.92,62.06,57.92,57.92,64.04,64.04,62.96,53.06,57.92,60.08,64.04,71.06,68
"26",1987,6,73.04,78.08,78.08,78.08,73.94,73.04,68,75.02,75.92,73.94,77,80.06,82.94,84.92,84.92,78.98,75.92,78.08,75.92,78.08,75.92,77,78.98,80.96,84.02,78.98,75.02,78.98,84.02,80.06,NA
"27",1987,7,80.06,78.08,82.04,82.04,80.06,80.06,80.96,84.02,80.96,78.08,77,78.98,82.04,86,86,82.94,69.08,71.06,66.92,73.94,75.02,77,78.98,82.94,87.08,77,73.94,73.94,62.06,78.08,71.06
"28",1987,8,73.94,78.08,78.98,80.06,82.04,78.08,75.02,73.94,80.06,75.92,77,69.08,73.04,73.94,73.94,73.94,75.02,78.98,82.94,82.04,77,82.94,80.06,71.96,73.04,73.94,66.92,75.02,75.02,75.92,80.96
"29",1987,9,82.04,78.98,78.08,75.02,62.06,68,73.04,78.98,75.92,77,78.98,75.92,73.04,62.06,62.96,73.94,73.94,73.94,73.94,75.92,77,75.92,71.06,62.06,62.06,60.08,71.96,71.06,69.98,71.96,NA
"30",1987,11,48.02,44.96,44.96,55.04,57.92,57.02,44.06,48.02,48.92,51.98,57.02,51.08,60.08,53.06,37.94,37.04,42.98,46.04,42.08,50,59,50,51.08,48.02,46.94,39.02,39.02,39.02,46.04,39.92,NA
"31",1987,12,46.94,50,53.96,64.94,55.04,39.02,51.98,46.94,42.98,55.04,62.96,57.02,35.06,19.94,24.08,28.04,37.04,30.02,35.96,30.92,33.98,46.94,46.94,30.02,26.06,19.04,21.92,41,37.94,39.92,28.94
"32",1988,1,24.98,26.96,41,46.94,48.92,37.94,33.98,39.02,37.94,42.98,53.06,44.96,33.08,50,41,44.96,37.04,30.92,28.94,26.06,30.92,35.96,33.98,51.98,32,42.98,48.92,50,57.02,50,44.96
"33",1988,2,41,35.96,37.94,35.96,32,39.92,50,48.02,51.98,59,53.96,48.02,53.96,51.98,41,55.04,46.94,33.08,33.08,39.92,48.92,53.06,53.96,55.04,53.96,53.06,46.04,51.08,53.96,NA,NA
"34",1988,3,42.98,53.96,44.96,46.94,51.98,53.96,53.06,48.92,48.02,53.06,33.98,33.98,37.94,41,51.08,46.94,37.94,53.96,51.98,62.06,64.04,60.98,60.08,62.96,59,69.98,69.08,66.02,46.04,55.04,46.94
"35",1988,4,39.92,53.96,60.98,60.98,62.06,66.02,71.06,71.06,66.92,57.02,62.06,69.98,69.98,64.94,50,51.08,48.02,37.94,50,53.96,51.08,37.94,37.94,44.96,48.92,57.02,62.06,64.04,55.94,64.94,NA
"36",1988,5,60.08,37.94,57.92,62.96,64.04,59,46.04,46.94,55.94,68,71.96,73.04,75.92,75.92,75.02,75.92,73.04,64.04,66.02,66.92,66.02,73.04,75.02,75.02,75.02,75.92,75.92,73.04,71.96,55.04,48.02
"37",1988,6,62.06,71.96,80.06,82.04,78.98,73.04,69.08,66.92,71.96,75.92,77,75.02,69.98,73.94,78.98,80.96,82.04,80.96,71.06,80.06,78.98,84.02,86,84.92,89.06,75.02,73.94,77,60.08,78.08,NA
"38",1988,7,77,80.06,80.96,78.98,78.98,80.06,82.04,82.94,78.98,80.96,75.92,77,80.06,84.02,84.02,86,86,84.92,84.02,84.02,84.02,84.02,80.96,87.08,82.94,84.02,84.92,80.06,77,82.04,73.94
"39",1988,8,69.98,75.02,75.92,78.98,80.06,77,75.02,75.92,77,78.98,80.06,78.08,75.02,77,84.02,80.96,80.96,73.94,82.04,80.96,84.02,73.94,75.92,77,78.98,75.92,78.08,60.08,71.06,71.96,64.94
"40",1988,9,69.08,73.94,73.94,71.96,71.96,73.04,78.08,78.08,78.08,77,60.08,69.08,62.96,64.94,69.08,71.96,73.94,75.02,73.04,73.04,68,55.94,51.98,66.02,68,69.08,69.98,71.96,73.04,66.92,NA
"41",1988,10,73.94,75.92,75.02,75.02,73.04,73.04,64.94,68,69.98,66.02,60.98,59,64.04,64.04,55.94,62.96,69.08,73.94,73.94,69.98,69.98,73.04,71.06,73.04,71.96,71.06,69.98,66.02,62.06,60.98,64.94
"42",1988,11,66.02,64.04,60.08,69.08,66.92,62.06,64.94,60.08,57.92,55.04,55.04,50,55.94,57.02,51.08,35.06,44.96,44.96,32,41,41,46.04,51.98,53.06,37.94,26.06,30.02,35.96,55.04,42.08,NA
"43",1988,12,41,44.06,55.04,48.92,44.96,46.94,50,39.02,33.08,37.94,48.02,55.94,55.94,62.06,48.92,44.96,44.06,48.02,48.02,28.04,39.92,28.94,35.06,28.04,35.06,30.02,23,26.96,23,21.92,44.06
"44",1989,1,39.02,44.06,42.98,44.06,35.96,37.94,35.96,21.02,28.04,39.92,50,33.98,17.96,33.98,37.94,32,35.06,44.06,42.08,48.02,48.02,39.02,48.92,44.06,39.92,33.98,35.06,33.98,39.92,37.94,46.04
"45",1989,2,51.98,44.06,39.92,35.96,32,24.08,3.92,19.94,32,39.02,48.02,50,39.92,35.96,35.06,42.98,51.98,53.06,53.96,46.04,41,46.94,55.04,60.98,62.06,60.08,60.08,51.08,NA,NA,NA
"46",1989,3,53.96,51.98,39.02,30.02,35.96,44.96,60.98,62.06,64.04,68,68,26.06,66.02,60.98,55.94,59,57.92,60.08,62.06,60.98,46.94,60.98,60.98,59,57.92,53.96,48.02,50,60.98,57.92,60.98
"47",1989,4,64.04,59,62.06,64.94,66.92,69.08,73.94,77,75.92,73.94,71.96,71.96,66.02,64.04,69.08,66.92,69.08,71.06,75.02,73.94,75.92,75.02,68,62.06,57.02,53.96,42.98,53.96,57.92,62.06,NA
"48",1989,5,64.04,68,71.96,75.02,75.92,77,78.98,80.96,80.06,73.04,62.96,46.94,53.06,53.96,53.96,55.04,55.04,66.02,69.08,71.96,75.02,78.98,78.08,78.98,78.08,69.98,73.94,73.04,69.98,66.02,62.06
"49",1989,6,66.92,71.06,69.98,69.08,71.06,71.06,73.04,75.92,71.06,75.02,73.04,77,77,80.06,80.06,84.92,82.04,84.92,89.06,87.08,84.92,82.94,78.08,77,75.92,75.92,78.98,78.98,78.08,80.06,NA
"50",1989,7,84.92,84.92,87.08,91.94,89.96,93.02,95,89.06,89.06,82.04,78.08,73.04,80.96,84.92,87.08,84.92,82.04,86,89.96,89.96,84.92,84.02,77,78.98,78.08,78.08,73.04,73.04,69.08,71.06,78.98
"51",1989,8,75.92,89.06,77,77,80.06,82.94,84.02,87.08,78.98,80.96,77,73.94,78.98,84.92,84.02,77,82.04,77,69.98,73.94,71.06,71.06,73.94,75.02,71.96,71.96,73.94,73.94,78.98,80.96,78.08
"52",1989,9,78.08,78.98,80.06,71.96,77,80.96,78.98,77,73.94,73.94,75.92,71.96,73.04,68,71.06,75.92,75.92,68,68,68,69.08,71.96,78.08,78.08,75.92,78.08,75.92,75.92,78.08,77,NA
"53",1989,10,73.94,71.06,66.92,64.94,57.92,60.08,62.96,64.04,64.94,71.96,73.04,73.04,73.94,69.08,68,64.94,64.94,64.04,60.98,62.06,57.92,53.06,57.92,60.08,64.94,55.94,53.96,55.94,53.06,42.98,48.92
"54",1989,11,57.02,44.96,48.92,53.96,60.08,57.02,55.04,57.02,55.04,59,62.96,68,62.06,59,59,53.06,55.94,55.04,53.06,59,62.96,55.94,59,59,50,48.92,46.94,39.92,32,35.06,NA
"55",1989,12,37.04,46.94,46.04,48.92,57.02,64.94,50,44.06,57.92,59,44.96,28.94,48.02,44.96,55.04,55.04,48.02,44.06,41,46.04,51.98,50,50,59,55.04,51.98,50,51.98,44.96,32,37.94
"56",1990,1,35.96,46.04,32,30.02,24.08,32,39.02,48.02,55.94,53.96,60.98,60.98,51.08,44.96,37.94,35.96,35.96,28.94,30.92,28.04,28.04,35.06,46.04,51.08,37.94,46.04,48.92,33.08,44.06,42.98,46.94
"57",1990,2,39.02,30.02,30.02,35.96,41,39.92,44.06,42.98,37.04,46.04,51.98,53.96,46.94,44.06,24.98,21.02,30.92,37.04,35.06,24.98,41,44.96,46.94,55.94,57.92,57.92,51.08,51.98,NA,NA,NA
"58",1990,3,48.02,51.98,50,48.02,51.08,39.02,37.94,50,57.92,50,46.04,33.08,32,24.98,37.04,39.02,44.96,57.92,57.02,60.08,60.98,62.06,62.96,64.04,64.04,64.04,57.92,55.94,50,37.94,42.98
"59",1990,4,46.04,48.92,51.08,55.04,55.04,55.04,53.96,51.08,51.98,57.92,64.04,64.04,66.92,69.98,71.06,69.98,59,51.98,44.06,57.02,62.06,64.04,64.04,55.04,44.96,51.98,64.94,68,68,60.08,NA
"60",1990,5,55.04,46.94,48.92,60.98,64.04,64.94,69.98,69.08,66.92,68,62.06,59,62.96,66.92,64.04,62.06,68,69.08,64.94,60.08,66.02,73.94,73.94,71.96,69.98,68,66.92,69.08,57.02,53.06,62.06
"61",1990,6,62.06,68,77,82.04,84.02,80.96,78.08,78.98,80.96,69.98,69.08,71.06,73.04,71.06,69.08,68,71.96,77,80.96,80.96,84.02,87.08,86,87.08,87.98,91.04,91.04,89.96,89.06,89.06,NA
"62",1990,7,87.98,89.06,78.08,75.02,82.04,75.92,75.92,69.08,69.98,73.04,78.08,82.04,82.94,75.02,73.94,75.92,73.94,75.02,80.06,84.02,82.94,78.98,78.08,78.08,71.96,71.96,73.94,78.08,80.06,82.94,89.06
"63",1990,8,77,78.98,71.96,77,80.06,82.94,77,78.08,82.04,80.06,80.96,78.08,75.02,64.04,60.98,64.04,66.92,71.96,73.04,71.96,71.06,73.94,73.94,75.02,71.96,73.04,75.02,80.96,80.06,80.96,80.06
"64",1990,9,80.96,64.04,71.96,73.04,71.96,69.08,73.04,75.92,78.08,80.96,82.94,84.02,87.98,84.02,82.94,75.02,69.98,69.08,57.02,64.04,60.08,66.02,64.04,66.92,68,69.08,69.08,68,64.04,64.04,NA
"65",1990,10,62.06,57.02,60.08,68,68,69.08,66.92,62.06,55.04,55.04,68,66.92,68,66.02,69.98,69.98,64.04,68,66.02,55.94,48.02,48.92,66.02,64.04,64.94,69.98,71.06,68,68,66.02,64.94
"66",1990,11,60.08,53.06,44.06,42.08,50,53.06,46.94,35.06,53.96,55.04,59,57.92,60.98,66.02,64.04,62.06,62.06,60.08,57.02,53.06,39.92,42.98,46.04,53.96,62.06,55.94,35.96,33.08,32,37.04,NA
"67",1990,12,48.92,50,42.08,33.98,42.08,55.04,39.92,48.92,53.96,55.04,57.92,51.08,46.04,42.08,42.98,42.08,39.02,32,42.08,28.94,21.92,12.92,15.98,12.02,21.92,35.96,35.06,35.96,35.96,28.94,37.94
"68",1991,1,39.02,44.06,42.08,44.06,37.94,42.08,35.96,44.06,41,41,39.92,39.02,50,51.08,41,44.96,32,35.96,42.08,42.98,30.02,26.06,35.96,42.98,41,48.02,46.04,44.96,41,26.96,44.96
"69",1991,2,46.04,46.04,53.96,53.06,48.02,51.98,48.02,42.08,44.06,50,51.98,48.92,53.06,55.04,57.02,57.92,48.02,46.04,39.92,44.06,55.04,57.02,57.92,57.92,53.96,55.94,51.98,51.08,NA,NA,NA
"70",1991,3,35.06,35.06,39.02,55.04,55.04,44.06,42.08,39.02,46.94,53.06,46.94,35.96,44.96,44.96,32,28.94,33.98,46.94,51.08,33.08,37.94,30.02,39.02,48.02,51.08,42.98,30.92,30.92,39.92,35.96,46.04
"71",1991,4,55.04,50,55.04,55.94,62.96,64.94,64.94,60.08,55.04,60.08,57.92,39.92,42.98,46.94,55.04,55.04,55.94,55.04,55.94,59,60.98,55.94,55.94,57.02,59,53.06,51.98,51.08,51.08,57.92,NA
"72",1991,5,62.96,60.98,48.92,51.08,57.02,60.98,68,71.96,69.08,62.96,48.92,51.08,64.04,66.02,55.94,62.06,66.92,64.04,62.06,66.02,66.02,62.96,60.98,66.92,71.96,73.04,69.08,66.02,66.92,68,62.96
"73",1991,6,48.92,48.92,57.02,69.08,71.96,69.98,71.96,73.94,75.92,78.08,75.92,66.92,69.98,69.98,71.06,73.94,77,80.96,80.96,75.92,73.94,73.94,75.02,75.02,71.06,73.04,71.06,71.96,71.96,73.94,NA
"74",1991,7,82.04,87.08,87.08,87.98,87.98,82.04,82.04,82.04,77,75.02,77,77,80.06,82.04,80.06,80.06,80.06,82.04,82.04,75.92,71.96,71.06,78.08,80.96,78.98,80.06,75.02,87.98,86,80.96,75.92
"75",1991,8,78.08,80.96,82.04,78.08,77,78.98,75.92,80.06,84.92,82.04,75.02,64.04,73.94,80.06,80.96,78.98,82.04,80.06,75.92,78.98,82.04,84.92,82.94,78.98,80.06,75.92,80.06,73.04,78.08,82.04,82.94
"76",1991,9,73.94,86,75.92,78.98,80.06,73.04,64.94,73.94,75.02,73.04,66.92,68,69.08,71.96,71.96,75.02,75.02,80.06,80.06,73.94,71.06,71.96,75.92,73.94,78.08,80.06,78.98,75.02,71.96,69.98,NA
"77",1991,10,73.94,73.94,78.98,75.92,77,77,78.08,77,75.02,75.92,75.92,75.92,71.96,77,77,78.08,75.92,75.92,75.02,75.02,69.98,66.02,57.92,55.94,55.04,53.06,55.04,39.02,37.04,42.08,35.06
"78",1991,11,48.92,55.04,53.96,48.02,51.98,59,69.98,64.04,66.92,64.04,51.98,50,50,59,44.96,33.98,35.06,41,41,37.94,55.94,53.06,41,32,50,51.08,57.92,53.06,37.94,30.92,NA
"79",1991,12,26.96,26.06,39.02,37.04,44.06,39.92,57.02,48.02,48.92,46.94,44.96,37.94,44.06,48.02,42.08,46.94,48.92,48.02,37.04,35.06,37.94,33.98,35.96,37.94,30.02,37.04,39.92,28.94,37.94,37.94,37.04
"80",1992,1,42.98,32,33.08,32,42.08,37.04,28.04,28.94,30.92,33.98,39.92,44.06,30.02,35.06,35.96,30.02,46.94,48.02,33.08,30.92,32,41,44.06,42.98,57.02,46.94,55.94,46.94,48.02,50,44.96
"81",1992,2,46.04,50,46.94,39.92,42.98,48.02,44.06,39.02,42.08,44.06,37.94,39.02,39.02,35.96,39.92,41,33.98,39.02,44.06,48.92,53.96,55.04,55.94,42.98,48.92,46.04,44.06,53.96,57.92,NA,NA
"82",1992,3,53.06,48.92,44.06,44.06,44.06,46.04,48.02,48.92,33.98,39.02,42.98,48.92,57.02,55.04,55.04,53.96,51.08,46.04,44.96,51.08,53.06,39.92,42.98,42.98,50,55.04,51.98,39.92,46.94,48.92,53.06
"83",1992,4,42.98,48.02,50,57.92,60.08,57.02,57.92,62.06,64.04,64.04,64.04,68,68,64.94,62.06,60.98,60.08,64.04,55.94,53.06,62.06,62.96,60.08,68,69.98,73.04,73.94,75.02,77,75.02,NA
"84",1992,5,71.96,71.96,71.06,71.06,66.92,53.96,60.08,62.06,66.02,60.08,60.98,66.02,68,71.06,73.04,71.06,71.96,73.94,75.02,59,62.96,55.04,57.92,51.98,57.92,62.96,62.06,64.94,64.94,57.92,62.96
"85",1992,6,71.06,73.04,71.96,73.04,78.08,75.02,69.98,66.92,64.04,68,71.06,71.96,71.96,71.06,64.94,66.02,66.92,73.04,75.92,78.08,78.08,80.06,78.98,69.98,78.08,77,77,84.92,82.04,75.92,NA
"86",1992,7,71.96,68,75.02,77,80.96,84.02,84.92,75.02,80.06,78.08,75.02,NA,69.08,75.92,73.04,75.92,80.96,84.92,84.02,86,84.92,80.96,77,78.08,68,73.04,78.08,78.98,80.06,84.02,84.02
"87",1992,8,78.08,82.04,87.08,84.02,80.06,69.98,73.04,71.96,78.08,82.04,82.94,82.94,80.06,82.94,80.06,82.04,82.94,80.06,82.04,84.02,80.96,75.02,55.94,51.98,66.02,69.98,71.96,75.92,75.92,71.06,71.06
"88",1992,9,66.92,69.98,71.06,73.04,71.06,71.06,71.96,75.92,75.92,77,78.98,77,75.92,71.96,73.94,73.94,75.92,78.08,77,73.04,73.94,77,78.08,75.92,73.94,75.02,75.02,77,77,77,NA
"89",1992,10,75.02,73.94,71.06,69.08,69.98,71.06,71.06,62.06,69.08,71.96,73.04,73.94,75.92,73.04,64.94,66.02,66.02,71.96,71.06,69.08,69.08,62.96,66.92,66.02,57.02,57.92,62.96,60.98,51.08,46.94,46.04
"90",1992,11,50,55.04,57.92,39.02,41,46.94,48.02,59,55.04,46.04,44.06,39.92,48.02,51.08,55.04,60.98,55.04,53.96,51.98,48.92,33.98,44.06,44.06,35.06,35.96,30.92,42.08,48.02,44.06,39.92,NA
